idx,id,0,1,2
204,604,5.834575508747339,6.111795978173889,7.5355948566186255
205,607,6.887979998505359,6.444874318010926,6.120855802116737
206,611,6.931365306263515,5.711921395534621,5.970196055933083
207,612,6.965242258378399,5.734524129060871,4.962024557525411
208,614,7.4817330643408875,6.969131197728559,6.753070488192986
209,616,6.358909771607008,6.439801794282058,6.561874193211398
210,618,5.543255029062326,5.3330825558647605,4.668017075779915
211,619,5.660221714259037,5.188985542653071,5.300030403177745
212,620,8.176367093202478,7.977740519586656,7.79564571307946
213,621,5.647136800153463,5.239791317493212,5.5313363428650355
214,623,5.737209346017441,5.576741131777898,4.286682091561444
215,625,6.509057419534418,6.138857608738402,6.109855165454189
216,630,4.877415464261827,3.568109573434915,4.102430618268832
217,635,4.89872392037894,6.088447605397998,5.789966963737442
218,636,6.822364710075115,7.470899495202553,7.548124952413243
219,638,7.317517409538622,7.79906258098346,7.961065254026876
220,640,7.111557881344986,6.160128345639957,6.532387684779551
221,641,6.745872582199011,7.745619661058107,8.544390791321735
222,642,6.066417248075708,6.077683608002618,6.250918422889012
223,644,3.9813562156211986,4.545861199774579,4.548558434520857
224,646,6.7856027851765015,6.529138801806887,6.634619526165649
225,647,6.3133987308568,6.413361801718941,7.2338610437835
226,650,7.9836317890550825,6.3218303236323035,6.1086820374775925
227,651,7.342967575829646,4.489740715403864,6.148480183768481
228,653,6.759578937397643,6.5116510515313495,6.690672390457632
229,654,6.509420421638392,6.339374712483048,5.795558868151682
230,655,5.769044313190019,5.319543049992129,5.43685696290711
231,656,7.684633815896324,6.733661334872297,7.693177051378332
232,659,6.386071595060199,5.764465839476663,5.0874406610389
233,661,4.835783063197359,6.185450356887036,5.24163636825928
234,662,6.596486803808983,6.889909961084531,8.040782270039424
235,665,8.329775459838897,7.639467463566061,7.13764649696424
236,666,7.831502035365274,7.341054474324514,7.818403073376304
237,667,6.107609133501975,5.010328371462469,4.993145486576434
238,670,7.56701188943505,7.404643200801863,6.772480503288209
239,674,7.4705022212189505,7.065290960428865,7.454541967343815
240,675,5.759414067050367,6.115814133068666,8.165089341728258
241,676,7.503994168372871,7.340988327442609,6.168467134883542
242,678,5.683966192534044,6.027035497260023,5.874922730312355
243,680,4.991246726347291,4.6481845010320475,4.9083393717659725
244,681,6.280247060341945,7.229507526524704,7.146303269165484
245,682,6.981595470126716,6.597548531944197,5.165302802033163
246,685,6.911914220315411,6.627326932229793,6.8272953979327475
247,686,5.728763530186122,5.805400190760155,6.010466178182353
248,687,5.426133407230028,6.358875370666599,6.7547243575368565
249,688,6.876916711548064,6.697210679905085,6.858267273671046
250,689,7.604970197816776,7.365490231235858,7.469112285004616
251,691,6.945652456620951,7.231869293789202,7.0549426715469705
252,692,6.5234276504845115,6.28394585831187,6.445490088692931
253,694,5.134686992556854,4.903320047834179,4.290054432555776
254,695,5.193940638901464,5.575439224046631,5.566591854385043
255,697,5.42243569212089,5.977855108032773,5.599957921405849
256,698,5.091308120831723,4.718747747035647,4.933570949810733
257,702,6.615507645212364,7.192615395909011,8.12922796710986
258,704,7.446807041649048,8.547570797482035,8.537572547250456
259,708,9.03530563631718,6.5482530270223265,9.081753683514544
260,709,7.1660637546755135,7.052865856196984,6.843167348606282
261,710,4.367457306700836,4.20460259558006,3.5470771828661802
262,718,7.27751111455085,7.22507371649808,7.203101726485863
263,719,6.0578828167790535,6.2532308726038375,6.690260953460691
264,721,8.081512567540857,7.977337185631003,7.8874765818801436
265,722,7.1376556703831335,6.990496735205114,7.0394613139115805
266,723,5.543391631569892,5.438008210039766,4.876946923847509
267,724,4.855459549657058,-7.505845405981558,4.739700873431594
268,725,6.895088021534881,7.661393706293895,7.53701484311956
269,726,6.3899556049735535,6.773909696934057,8.15121381947576
270,728,8.557396508873994,8.472397166991595,6.89355948792571
271,731,8.085914985050637,6.502393385738124,6.7635428417785475
272,737,6.902979336377959,7.380362132828254,7.316758493274417
273,739,9.325077042597943,6.479836643125806,7.15053171490117
274,743,4.833813920959256,4.884038171189029,5.554190199530483
